"Exness","Symbol","Timestamp","Bid","Ask"
"exness","XAUUSD","2023-06-19 00:00:00.999Z",1957.112,1957.237
"exness","XAUUSD","2023-06-19 00:00:02.362Z",1957.117,1957.242
"exness","XAUUSD","2023-06-19 00:00:04.306Z",1957.124,1957.249
"exness","XAUUSD","2023-06-19 00:00:05.050Z",1957.155,1957.28
"exness","XAUUSD","2023-06-19 00:00:06.053Z",1957.157,1957.282
"exness","XAUUSD","2023-06-19 00:00:07.063Z",1957.153,1957.278
"exness","XAUUSD","2023-06-19 00:00:08.377Z",1957.149,1957.274
"exness","XAUUSD","2023-06-19 00:00:09.826Z",1957.153,1957.278
"exness","XAUUSD","2023-06-19 00:00:10.333Z",1957.185,1957.31
"exness","XAUUSD","2023-06-19 00:00:10.489Z",1957.222,1957.347
"exness","XAUUSD","2023-06-19 00:00:12.009Z",1957.239,1957.364
"exness","XAUUSD","2023-06-19 00:00:13.148Z",1957.237,1957.362
"exness","XAUUSD","2023-06-19 00:00:13.593Z",1957.2,1957.325
"exness","XAUUSD","2023-06-19 00:00:13.638Z",1957.168,1957.293
"exness","XAUUSD","2023-06-19 00:00:14.144Z",1957.205,1957.33
"exness","XAUUSD","2023-06-19 00:00:14.194Z",1957.236,1957.361
"exness","XAUUSD","2023-06-19 00:00:15.475Z",1957.248,1957.373
"exness","XAUUSD","2023-06-19 00:00:18.882Z",1957.243,1957.368
"exness","XAUUSD","2023-06-19 00:00:19.932Z",1957.271,1957.396
"exness","XAUUSD","2023-06-19 00:00:21.012Z",1957.273,1957.398
"exness","XAUUSD","2023-06-19 00:00:21.044Z",1957.242,1957.367
"exness","XAUUSD","2023-06-19 00:00:22.313Z",1957.23,1957.355
"exness","XAUUSD","2023-06-19 00:00:22.806Z",1957.196,1957.321
"exness","XAUUSD","2023-06-19 00:00:22.845Z",1957.163,1957.288
"exness","XAUUSD","2023-06-19 00:00:23.907Z",1957.139,1957.264
"exness","XAUUSD","2023-06-19 00:00:24.948Z",1957.165,1957.29
"exness","XAUUSD","2023-06-19 00:00:26.021Z",1957.171,1957.296
"exness","XAUUSD","2023-06-19 00:00:29.441Z",1957.176,1957.301
"exness","XAUUSD","2023-06-19 00:00:30.442Z",1957.182,1957.307
"exness","XAUUSD","2023-06-19 00:00:30.724Z",1957.212,1957.337
"exness","XAUUSD","2023-06-19 00:00:31.737Z",1957.219,1957.344
"exness","XAUUSD","2023-06-19 00:00:33.525Z",1957.245,1957.37
"exness","XAUUSD","2023-06-19 00:00:34.592Z",1957.251,1957.376
"exness","XAUUSD","2023-06-19 00:00:36.275Z",1957.25,1957.375
"exness","XAUUSD","2023-06-19 00:00:37.270Z",1957.255,1957.38
"exness","XAUUSD","2023-06-19 00:00:38.241Z",1957.194,1957.319
"exness","XAUUSD","2023-06-19 00:00:38.286Z",1957.163,1957.288
"exness","XAUUSD","2023-06-19 00:00:40.103Z",1957.176,1957.301
"exness","XAUUSD","2023-06-19 00:00:40.141Z",1957.142,1957.267
"exness","XAUUSD","2023-06-19 00:00:41.223Z",1957.151,1957.276
"exness","XAUUSD","2023-06-19 00:00:41.234Z",1957.107,1957.232
"exness","XAUUSD","2023-06-19 00:00:41.266Z",1957.069,1957.194
"exness","XAUUSD","2023-06-19 00:00:42.276Z",1957.078,1957.203
"exness","XAUUSD","2023-06-19 00:00:42.314Z",1957.045,1957.17
"exness","XAUUSD","2023-06-19 00:00:42.375Z",1957.008,1957.133
"exness","XAUUSD","2023-06-19 00:00:42.406Z",1956.976,1957.101
"exness","XAUUSD","2023-06-19 00:00:42.761Z",1957.012,1957.137
"exness","XAUUSD","2023-06-19 00:00:43.825Z",1957.038,1957.163
"exness","XAUUSD","2023-06-19 00:00:46.256Z",1957.059,1957.184
"exness","XAUUSD","2023-06-19 00:00:46.287Z",1957.095,1957.22
"exness","XAUUSD","2023-06-19 00:00:48.532Z",1957.108,1957.233
"exness","XAUUSD","2023-06-19 00:00:49.616Z",1957.088,1957.213
"exness","XAUUSD","2023-06-19 00:00:51.697Z",1957.086,1957.211
"exness","XAUUSD","2023-06-19 00:00:51.837Z",1957.118,1957.243
"exness","XAUUSD","2023-06-19 00:00:53.008Z",1957.144,1957.269
"exness","XAUUSD","2023-06-19 00:00:55.896Z",1957.126,1957.251
"exness","XAUUSD","2023-06-19 00:00:55.904Z",1957.095,1957.22
"exness","XAUUSD","2023-06-19 00:00:57.086Z",1957.081,1957.206
"exness","XAUUSD","2023-06-19 00:00:58.198Z",1957.108,1957.233
"exness","XAUUSD","2023-06-19 00:00:58.471Z",1957.139,1957.264
"exness","XAUUSD","2023-06-19 00:00:59.988Z",1957.141,1957.266
"exness","XAUUSD","2023-06-19 00:01:01.044Z",1957.129,1957.254
"exness","XAUUSD","2023-06-19 00:01:01.073Z",1957.092,1957.217
"exness","XAUUSD","2023-06-19 00:01:01.575Z",1957.061,1957.186
"exness","XAUUSD","2023-06-19 00:01:02.757Z",1957.054,1957.179
